No    	Deprem Kodu	Olus tarihi	Olus zamani	Enlem	Boylam	Der(km)	xM	MD	ML	Mw	Ms	Mb	Tip	Yer
000001	20190228101414	2019.02.28	10:14:14.16	39.5725	28.8385	009.4	3.6	0.0	3.6	3.5	0.0	0.0	Ke	CAMHARMAN-DURSUNBEY (BALIKESIR) [South West  1.7 km]
000002	20190224012224	2019.02.24	01:22:24.57	40.3800	27.1757	011.1	3.9	0.0	3.9	3.9	0.0	0.0	Ke	CAKIRLI-BIGA (CANAKKALE) [North East  0.7 km]
000003	20190224010539	2019.02.24	01:05:39.75	40.3932	27.1682	009.7	3.6	0.0	3.5	3.6	0.0	0.0	Ke	CAKIRLI-BIGA (CANAKKALE) [North West  2.2 km]
000004	20190220194206	2019.02.20	19:42:06.62	39.6255	26.4203	007.0	3.8	0.0	3.8	3.6	0.0	0.0	Ke	SAPANCA-AYVACIK (CANAKKALE) [South East  2.7 km]
000005	20190220182327	2019.02.20	18:23:27.94	39.6173	26.4088	008.2	5.4	0.0	5.4	5.0	0.0	0.0	Ke	AYVACIK (CANAKKALE) [North East  1.6 km]
000006	20190220002757	2019.02.20	00:27:57.36	40.3923	27.1535	006.8	3.6	0.0	3.6	3.5	0.0	0.0	Ke	CAKIRLI-BIGA (CANAKKALE) [North West  2.6 km]
000007	20190219213354	2019.02.19	21:33:54.96	40.3862	27.1572	011.5	4.1	0.0	4.1	4.1	0.0	0.0	Ke	CAKIRLI-BIGA (CANAKKALE) [North West  1.9 km]
000008	20190219194842	2019.02.19	19:48:42.72	40.3833	27.1537	011.6	4.0	0.0	4.0	3.7	0.0	0.0	Ke	CAKIRLI-BIGA (CANAKKALE) [North West  2.0 km]
000009	20190215161427	2019.02.15	16:14:27.29	40.7818	27.9382	020.2	4.1	0.0	4.1	3.8	0.0	0.0	Ke	MARMARA DENIZI
000010	20190128165834	2019.01.28	16:58:34.51	39.4410	26.1915	005.3	3.5	0.0	3.5	3.5	0.0	0.0	Ke	KOYUNEVI-AYVACIK (CANAKKALE) [South 5.8 km]
000011	20190127031541	2019.01.27	03:15:41.20	39.0222	27.7567	012.8	4.3	0.0	4.3	4.1	0.0	0.0	Ke	SELVILI-AKHISAR (MANISA) [South East  0.3 km]
000012	20190114065935	2019.01.14	06:59:35.63	39.3413	25.5358	009.4	3.9	0.0	3.9	3.9	0.0	0.0	Ke	EGE DENIZI
000013	20190111160956	2019.01.11	16:09:56.39	40.2818	28.8565	005.2	3.9	0.0	3.9	3.7	0.0	0.0	Ke	DEDE-MUDANYA (BURSA) [South East  1.7 km]
000014	20190111015846	2019.01.11	01:58:46.79	40.1550	25.0702	001.2	3.5	0.0	3.2	3.5	0.0	0.0	Ke	EGE DENIZI
000015	20190105042014	2019.01.05	04:20:14.30	40.4447	28.3713	010.4	4.1	0.0	4.1	3.9	0.0	0.0	Ke	BAYRAMDERE ACIKLARI-BURSA (MARMARA DENIZI)
000016	20190103162756	2019.01.03	16:27:56.84	39.5097	26.1643	005.6	3.6	0.0	3.6	3.5	0.0	0.0	Ke	BADEMLI-AYVACIK (CANAKKALE) [North West  1.5 km]
000017	20181229151911	2018.12.29	15:19:11.34	40.3967	26.0462	011.3	3.7	0.0	3.7	3.7	0.0	0.0	Ke	SAROS KORFEZI (EGE DENIZI)
000018	20181228161245	2018.12.28	16:12:45.64	39.5273	26.1738	006.1	3.7	0.0	3.7	3.7	0.0	0.0	Ke	YUKARIKOY-AYVACIK (CANAKKALE) [South West  2.4 km]
000019	20181220063424	2018.12.20	06:34:24.40	40.5995	28.9773	007.3	4.6	0.0	4.6	4.4	0.0	0.0	Ke	ESENKOY-CINARCIK (YALOVA) [South East  3.0 km]
000020	20181217144055	2018.12.17	14:40:55.05	39.5243	26.1807	007.4	4.1	0.0	4.1	3.9	0.0	0.0	Ke	CAMKALABAK-AYVACIK (CANAKKALE) [North West  1.9 km]
000021	20181215092606	2018.12.15	09:26:06.80	40.3772	28.9855	008.1	3.9	0.0	3.9	3.7	0.0	0.0	Ke	ALTINTAS-MUDANYA (BURSA) [North East  2.6 km]
000022	20181204123803	2018.12.04	12:38:03.15	40.6673	26.9752	011.3	3.6	0.0	3.6	3.4	0.0	0.0	Ke	YULUCE-GELIBOLU (CANAKKALE) [South East  2.7 km]
000023	20181201213610	2018.12.01	21:36:10.61	40.5880	28.9725	012.0	3.5	0.0	3.5	3.4	0.0	0.0	Ke	ESENKOY-CINARCIK (YALOVA) [South East  4.0 km]
000024	20181130023634	2018.11.30	02:36:34.63	40.5985	28.9668	012.1	4.3	0.0	4.3	4.0	0.0	0.0	Ke	ESENKOY-CINARCIK (YALOVA) [South East  2.7 km]
000025	20181102234236	2018.11.02	23:42:36.14	40.8025	31.0063	009.3	3.8	0.0	3.5	3.8	0.0	0.0	Ke	ICMELER-GOLYAKA (DUZCE) [South West  1.5 km]
000026	20180529190508	2018.05.29	19:05:08.62	39.5853	25.9327	006.0	3.7	0.0	3.7	3.5	0.0	0.0	Ke	GULPINAR ACIKLARI-CANAKKALE (EGE DENIZI)
000027	20180529105126	2018.05.29	10:51:26.92	39.5797	25.9115	001.1	3.7	0.0	3.7	3.6	0.0	0.0	Ke	GULPINAR ACIKLARI-CANAKKALE (EGE DENIZI)
000028	20180529102459	2018.05.29	10:24:59.89	39.5903	25.9863	004.2	4.1	0.0	4.0	4.1	0.0	0.0	Ke	GULPINAR ACIKLARI-CANAKKALE (EGE DENIZI)
000029	20180517073748	2018.05.17	07:37:48.71	39.5348	26.1612	008.1	3.6	0.0	3.6	3.6	0.0	0.0	Ke	YUKARIKOY-AYVACIK (CANAKKALE) [South West  2.7 km]
000030	20180506173949	2018.05.06	17:39:49.79	39.3985	26.2010	008.9	3.8	0.0	3.8	3.7	0.0	0.0	Ke	MIDILLI ADASI (EGE DENIZI)
000031	20180503085847	2018.05.03	08:58:47.20	39.5218	26.0173	006.2	3.5	0.0	3.5	3.4	0.0	0.0	Ke	GULPINAR ACIKLARI-CANAKKALE (EGE DENIZI)
000032	20180503023240	2018.05.03	02:32:40.28	40.8522	31.6548	005.0	3.9	0.0	3.9	3.8	0.0	0.0	Ke	CUKUROREN- (BOLU) [North East  4.6 km]
000033	20180503023045	2018.05.03	02:30:45.00	40.8570	31.6630	004.2	3.9	0.0	3.8	3.9	0.0	0.0	Ke	YESILCELE- (BOLU) [North West  4.5 km]
000034	20180503020433	2018.05.03	02:04:33.41	39.9797	26.9243	012.7	4.5	0.0	4.5	4.2	0.0	0.0	Ke	TEPEKOY-CAN (CANAKKALE) [West 0.3 km]
000035	20180413133832	2018.04.13	13:38:32.36	40.7712	30.8017	008.4	3.9	0.0	3.9	3.7	0.0	0.0	Ke	HARMANTEPE-HENDEK (SAKARYA) [North West  0.8 km]
000036	20180407211631	2018.04.07	21:16:31.33	40.8617	31.6603	006.0	4.9	0.0	4.9	4.6	0.0	0.0	Ke	YESILCELE- (BOLU) [North West  5.0 km]
000037	20180328055548	2018.03.28	05:55:48.71	40.7935	31.0007	010.0	3.5	0.0	3.5	3.2	0.0	0.0	Ke	GOLYAKA (DUZCE) [North East  1.9 km]
000038	20180325150158	2018.03.25	15:01:58.78	41.6303	26.7772	012.6	3.6	0.0	3.6	3.5	0.0	0.0	Ke	SOGUTLUDERE-HAVSA (EDIRNE) [South West  2.4 km]
000039	20180307160232	2018.03.07	16:02:32.44	39.5923	26.0512	007.5	3.9	0.0	3.9	3.7	0.0	0.0	Ke	TAVAKLI ACIKLARI-CANAKKALE (EGE DENIZI)
000040	20180225211026	2018.02.25	21:10:26.41	39.5510	26.0190	009.4	3.8	0.0	3.6	3.8	0.0	0.0	Ke	GULPINAR ACIKLARI-CANAKKALE (EGE DENIZI)
000041	20180114115617	2018.01.14	11:56:17.80	39.5605	26.0097	007.0	4.0	0.0	4.0	4.0	0.0	0.0	Ke	GULPINAR ACIKLARI-CANAKKALE (EGE DENIZI)
000042	20180114115516	2018.01.14	11:55:16.47	39.5570	26.0100	006.2	3.5	0.0	3.5	0.0	0.0	0.0	Ke	GULPINAR ACIKLARI-CANAKKALE (EGE DENIZI)
000043	20180104045354	2018.01.04	04:53:54.82	39.3487	28.0002	009.2	4.1	0.0	4.1	3.9	0.0	0.0	Ke	HAMIDIYE-BIGADIC (BALIKESIR) [South 2.8 km]
000044	20171231201202	2017.12.31	20:12:02.32	40.5658	27.8670	012.6	4.1	0.0	4.1	3.8	0.0	0.0	Ke	ERDEK ACIKLARI-BALIKESIR (MARMARA DENIZI)
000045	20171230085638	2017.12.30	08:56:38.74	39.3658	25.5243	009.1	4.0	0.0	4.0	4.0	0.0	0.0	Ke	EGE DENIZI
000046	20171220041849	2017.12.20	04:18:49.34	39.2793	30.5213	005.9	3.5	0.0	3.3	3.5	0.0	0.0	Ke	KIRKA-SEYITGAZI (ESKISEHIR) [South West  0.5 km]
000047	20171219185406	2017.12.19	18:54:06.02	39.5397	28.2117	005.0	3.5	0.0	3.5	3.4	0.0	0.0	Ke	TILKICIK-KEPSUT (BALIKESIR) [South East  2.1 km]
000048	20171213231054	2017.12.13	23:10:54.54	40.0953	27.7623	011.0	3.7	0.0	3.7	3.5	0.0	0.0	Ke	KUPCIKTI-GONEN (BALIKESIR) [North West  1.5 km]
000049	20171005235442	2017.10.05	23:54:42.31	40.8375	28.3402	013.9	3.6	0.0	3.6	3.4	0.0	0.0	Ke	MARMARA DENIZI
000050	20170917073833	2017.09.17	07:38:33.89	39.4447	26.3792	010.8	3.7	0.0	3.7	3.7	0.0	0.0	Ke	EDREMIT KORFEZI (EGE DENIZI)
000051	20170916081241	2017.09.16	08:12:41.00	39.4310	26.3750	011.9	4.3	0.0	4.3	4.2	0.0	0.0	Ke	EDREMIT KORFEZI (EGE DENIZI)
000052	20170913212332	2017.09.13	21:23:32.42	39.5655	26.0178	007.9	3.5	0.0	3.5	3.5	0.0	0.0	Ke	GULPINAR ACIKLARI-CANAKKALE (EGE DENIZI)
000053	20170903032314	2017.09.03	03:23:14.06	40.1432	29.9395	005.5	3.7	0.0	3.7	3.7	0.0	0.0	Ke	SELOZ- (BILECIK) [North East  1.7 km]
000054	20170903021339	2017.09.03	02:13:39.52	39.5522	26.0535	010.0	3.6	0.0	3.6	3.6	0.0	0.0	Ke	GULPINAR-AYVACIK (CANAKKALE) [North West  6.1 km]
000055	20170809213550	2017.08.09	21:35:50.85	39.3150	27.8765	014.0	3.7	0.0	3.7	3.6	0.0	0.0	Ke	FIRDANLAR-KIRKAGAC (MANISA) [North West  2.5 km]
